WR, Yards Rec Until TD
D.Sanzenbacher,8
H.Nicks,758
S.Holmes,830
M.Wallace,800
K.Williams,65
R.Rice,272
J.King,194
W.Welker,604
M.Thomas,350
J.Finley,333
D.Thomas,290
M.Wallace,929
V.Shiancoe,290
O.Daniels,391
L.Tomlinson,266
B.Jacobs,121
D.Bowe,652
L.Fitzgerald,792
T.Smith,74
T.Gonzalez,466
M.Willis,20
J.Ballard,51
G.Olsen,398
J.Gresham,352
C.Stevens,70
D.Bryant,306
J.Nelson,341
Z.Miller,497
D.Aromashodu,167
W.Welker,619
C.Harbor,37
V.Jackson,605
S.Rice,698
S.Moss,646
P.Garcon,750
R.White,730
J.Maclin,433
S.Smith,1407
M.Floyd,612
C.Johnson,1108
K.Walter,301
P.Garcon,765
A.Green,206
D.Branch,393
B.Obomanu,150
H.Miller,524
D.Walker,145
J.Jones,1150
D.Hester,445
A.Green,217
B.Pettigrew,386
J.Jones,1185
W.Welker,757
N.Roosevelt,99
S.Holmes,956
K.Boss,399
M.Wallace,1045
M.Colston,916
B.Celek,224
H.Miller,554
B.LaFell,211
D.Bryant,425
R.White,787
A.Boldin,900
A.Fasano,383
V.Shiancoe,332
M.Colston,937
A.Gates,603
R.Williams,721
J.Dreessen,156
E.Doucet,255
S.Chandler,32
G.Olsen,519
T.Young,71
J.Hill,185
J.Baldwin,80
M.Manningham,670
J.Maclin,469
M.Moore,135
J.Simpson,61
M.Crabtree,643
B.Lloyd,564
N.Washington,578
L.Fitzgerald,1067
S.Holmes,983
J.Witten,814
J.Cribbs,254
J.Jones,1314
A.Fasano,386
A.Hernandez,354
L.Moore,412
E.Decker,115
M.Spaeth,38
M.Wallace,1100
V.Jackson,700
D.Williams,324
B.Miller,54
J.Graham,319
D.Williams,367
T.Scheffler,265
J.Cotchery,673
B.Lloyd,682
D.Bryant,535
G.Jennings,832
J.Dillard,99
E.Decker,171
R.Gronkowski,323
L.Fitzgerald,1119
D.Moore,190
E.Dickson,265
M.Manningham,752
J.Jones,1400
T.Gonzalez,623
A.Boldin,1006
A.Gates,629
J.Cribbs,294
S.Smith,1683
T.Crabtree,42
C.Clay,122
C.Schilens,107
R.Gronkowski,383
S.Smith,1697
K.Williams,122
B.Lloyd,712
D.Bryant,557
H.Douglas,248
D.Pitta,168
J.Norwood,211
L.Robinson,310
G.Jennings,841
R.Wayne,1122
J.Dreessen,203
W.Saunders,2
L.Moore,456
D.Nelson,180
J.Knox,766
W.Welker,972
A.Gates,643
F.Davis,328
B.Lloyd,777
M.Williams,661
D.Bryant,604
St.Johnson,263
D.McCluster,167
E.Moore,281
J.Dreessen,206
M.Jones-Drew,369
D.Bess,636
K.Rudolph,59
R.Gronkowski,438
R.Meachem,610
T.Beckum,159
M.Wallace,1125
G.Tate,139
M.Crabtree,957
L.Naanee,346
S.Holmes,1133
E.Doucet,430
T.Smith,259
R.White,866
J.Simpson,164
J.Phillips,53
D.Thomas,406
T.Young,222
R.Taylor,4
M.Jones-Drew,388
B.Marshall,1081
S.Holmes,1137
J.Cotchery,684
A.Gates,700
D.Baldwin,221
M.Colston,1129
R.Gronkowski,498
A.Roberts,347
J.Jones,1464
A.Fasano,551
K.Bell,55
C.Ochocinco,792
S.Smith,1800
R.Wayne,1177
D.Driver,486
L.Moore,477
S.Moss,721
C.Johnson,1427
B.Celek,401
E.Dickson,363
D.Alexander,226
M.Austin,927
E.Dickson,368
D.Fells,344
A.Benn,290
J.Gresham,437
B.Celek,414
B.Pettigrew,472
J.Finley,426
D.Moore,298
B.Marshall,1147
J.Jones,1554
J.Baker,27
D.Baldwin,247
J.Cook,353
D.Stallworth,107
S.Rice,818
A.Boldin,1173
B.Marshall,1186
J.Maclin,577
H.Miller,817
B.Gibson,465
R.Moss,593
A.Johnson,1232
J.Jones,1644
C.Shorts,99
J.Graham,508
K.Ogletree,137
J.Kerley,92
M.Floyd,702
M.Williams,708
A.Hernandez,561
D.Thomas,535
S.Chandler,131
J.Stewart,244
A.Green,451
T.Crabtree,76
D.Allen,3
M.Jones-Drew,411
M.Goodson,197
A.Roberts,380
V.Jackson,921
J.Jones,1665
S.Holmes,1182
D.Rosario,355
M.Austin,977
V.Davis,988
L.Hankerson,182
M.Floyd,751
T.Smith,336
M.Bennett,221
T.Graham,9
A.Johnson,1299
T.Hilton,40
J.Kerley,210
K.Rudolph,155
L.Moore,541
H.Miller,821
Jz. Rodgers,19
G.Tate,241
J.Cook,416
A.Green,524
L.Fitzgerald,1297
G.Olsen,627
T.Smith,400
S.Chandler,173
M.Austin,1125
J.Dreessen,288
Ja.Jones,21
J.Casey,90
M.Lewis,601
E.Royal,425
D.Jackson,1016
D.Amendola,565
V.Jackson,974
G.Tate,279
A.Green,584
Ja.Jones,27
A.Jeffery,72
P.Harvin,1028
W.Welker,1216
R.Meachem,699
J.Gordon,62
O.Daniels,778
L.McCoy,364
K.Williams,260
L.Kendricks,195
J.Jones,1749
L.Fitzgerald,1323
R.White,1090
T.Smith,462
J.Gresham,539
J.Nelson,650
M.Moore,188
S.Hill,21
L.McCoy,369
A.Gates,742
W.Welker,1268
V.Cruz,442
M.Williams,929
M.Wallace,1452
D.Young,95
F.Jackson,345
B.LaFell,396
B.Marshall,1415
A.Green,592
K.Walter,565
G.Little,257
P.Harvin,1097
R.Gronkowski,646
S.Moss,827
C.Shorts,203
D.Walker,260
J.Nelson,728
T.Underwood,56
M.Crabtree,1237
K.Davis,147
D.Sproles,537
R.Broyles,25
R.Cobb,91
D.Moore,430
P.Harvin,1147
A.Fasano,681
DJ.Davis,30
S.Moss,837
C.Givens,196
K.Wright,72
K.Ogletree,349
E.Decker,305
T.Smith,532
R.Cobb,104
O.Daniels,825
R.Wayne,1416
M.Spurlock,14
D.Jackson,1164
E.Sanders,263
V.Jackson,1084
A.Gates,791
G.Tate,318
B.Marshall,1493
S.Smith,2067
D.Pitta,344
G.Olsen,748
A.Foster,357
A.Green,725
C.Shorts,328
K.Wright,99
J.Wright,84
R.Gronkowski,672
J.Graham,666
R.Cooper,175
M.Wallace,1518
G.Tate,356
B.Quick,55
D.Alexander,331
D.Bess,978
N.Byham,15
B.Watson,602
D.Thomas,741
J.Finley,513
K.Martin,9
A.Green,729
R.Gronkowski,728
L.Moore,652
V.Davis,1157
C.Schilens,228
D.Young,101
L.Kendricks,232
M.Spaeth,51
M.Sanu,26
J.Cameron,40
A.Robinson,95
M.Thomas,547
T.Hilton,128
C.Shorts,410
J.Tamme,398
A.McCoy,74
D.Thomas,764
J.Nelson,823
W.Welker,1312
G.Barnidge,128
M.Floyd,1007
J.Jones,2177
T.Gonzalez,1018
A.Boldin,1585
S.Chandler,287
E.Bennett,686
D.Bryant,1024
D.Clark,781
D.Avery,464
Ja.Jones,93
G.Olsen,795
W.Welker,1394
J.Gordon,266
J.Gresham,622
L.Jean,63
M.Bennett,336
L.Smith,44
G.Olsen,824
A.Hawkins,174
T.Scheffler,401
J.Cook,477
A.Jeffery,95
A.Hernandez,673
M.Bennett,342
J.Dreessen,321
D.Alexander,411
Z.Miller,717
A.Fasano,700
V.Jackson,1254
J.Morgan,592
T.Gonzalez,1030
E.Decker,484
Z.Miller,729
B.Marshall,1680
L.Hankerson,322
J.Witten,1247
A.Johnson,1614
J.Lane,45
R.Moss,750
D.Thomas,806
R.Cooper,248
D.Williams,602
B.Quick,68
J.Cumberland,174
B.Marshall,1728
T.Smith,604
S.Smith,2162
D.Bryant,1105
D.Thomas,863
R.White,1522
R.Cobb,220
K.Rudolph,261
J.Blackmon,312
R.Wayne,1672
R.Bush,404
D.Alexander,480
J.Maclin,772
A.Brown,847
M.Lynch,299
L.Kendricks,386
J.Edelman,168
S.Smith,2194
M.Bennett,350
J.Cameron,108
J.Witten,1309
V.Leach,216
R.Bush,503
R.Wayne,1712
D.Avery,508
T.Gonzalez,1037
M.Williams,1050
J.Cotchery,891
R.Mathews,242
V.Davis,1208
L.Fitzgerald,1507
D.Jackson,1280
C.Johnson,2270
S.Jackson,664
M.Brown,45
G.Olsen,960
B.Marshall,1780
G.Bernard,27
R.Cobb,315
K.Wright,158
M.Wallace,1606
J.Charles,378
A.Dobson,39
W.Welker,1468
C.Harbor,165
E.Royal,475
M.Lynch,341
K.Ogletree,363
B.LaFell,570
J.Jones,2349
D.Bryant,1120
E.Decker,559
J.Snelling,317
J.Gordon,399
K.Thompkins,16
R.Meachem,735
S.Hill,188
J.Avant,524
A.Brown,1045
Z.Miller,768
A.Gates,872
J.Fauria,31
T.Gonzalez,1162
M.Brown,80
J.Cameron,189
W.Welker,1516
C.Johnson,2356
G.Graham,60
C.Fleener,108
S.McGrath,24
G.Jennings,1048
J.Graham,778
M.Rivera,50
D.Woodhead,267
A.Boldin,1729
M.Williams,1136
N.Washington,934
J.Dray,78
J.Snelling,331
P.Thomas,392
J.Gordon,467
D.Bryant,1122
J.Jones,2467
G.Tate,519
C.Clay,265
R.Randle,139
R.Streater,234
V.Davis,1322
J.Blackmon,379
C.Johnson,2405
J.Nelson,1034
A.Green,945
B.Marshall,1860
C.Ogbonnaya,191
T.Williams,52
J.Thomas,53
C.Harkey,2
D.Moore,582
S.Smith,2312
T.Cadet,30
E.Sanders,593
K.Allen,98
L.Fitzgerald,1652
V.Jackson,1415
S.Rice,1202
J.Rodgers,129
Z.Stacy,29
A.Green,1027
J.Finley,639
E.Decker,615
E.Royal,509
D.Hopkins,112
C.Clay,272
R.Randle,192
J.Kerley,519
T.Williams,122
H.Miller,1070
C.Johnson,2503
J.Reed,249
L.Fitzgerald,1662
M.Jones,142
W.Welker,1522
C.Johnson,2592
V.Davis,1395
A.Sherman,77
J.Nelson,1045
B.Gibson,725
L.Moore,701
E.Sanders,624
G.Tate,568
M.Tolbert,275
M.Goodwin,59
G.Olsen,1153
D.Bess,1221
J.Witten,1468
B.Marshall,1942
A.Johnson,1842
D.Amendola,811
J.Graham,935
B.Celek,710
T.Wright,44
J.Cook,618
E.Royal,529
A.Johnson,1849
J.Kearse,90
T.Smith,902
B.Marshall,2003
D.Jackson,1531
T.Austin,90
P.Garcon,1191
M.Colston,1530
R.Randle,217
J.Cotchery,960
J.Thomas,146
R.Matthews,119
T.Thompson,9
T.Graham,290
B.LaFell,715
T.Smith,928
J.Gresham,841
J.Thomas,155
D.Moore,646
D.Noble,62
A.Gates,930
J.Hill,209
R.Randle,243
D.Young,178
A.Brown,1288
J.Wright,244
B.Rainey,4
D.Walker,554
L.Fitzgerald,1666
J.Graham,1002
J.Jones,2633
A.Brown,1371
N.Burleson,932
R.Ellison,66
D.Avery,648
M.Wallace,1914
J.Tamme,440
J.Witten,1488
J.Hunter,112
M.Bennett,414
A.Boldin,1929
T.Smith,1067
T.Gonzalez,1312
B.LaFell,731
C.Harbor,209
D.Bryant,1320
J.Ross,5
R.Gronkowski,839
J.Hemingway,31
A.Jeffery,385
B.Hartline,1217
Z.Ertz,111
L.Green,85
Z.Miller,848
V.Davis,1484
L.Paulsen,174
L.Fitzgerald,1738
J.Simpson,521
D.Bryant,1322
M.Jones,239
J.Thomas,187
Dr.Davis,36
C.Shorts,709
G.Barnidge,198
M.Colston,1601
J.Kerley,546
D.Jackson,1672
E.Sanders,671
K.Allen,294
L.Willson,149
V.Jackson,1734
D.Bowe,1421
T.Gonzalez,1348
De.Williams,182
B.Marshall,2145
J.Witten,1547
A.Caldwell,342
J.Fauria,59
G.Whalen,31
A.Sanders,138
M.Hoomanawanui,172
G.Jennings,1218
D.Baldwin,649
J.Charles,598
A.Brown,1418
C.Harkey,56
M.Crabtree,1536
C.Johnson,2892
S.Vereen,91
J.Graham,1075
J.Wright,306
J.Jernigan,121
J.Boykin,96
D.Thomas,1114
M.Lewis,1015
D.Brown,226
D.Nelson,319
R.Cooper,433
K.Allen,316
Z.Miller,880
A.Boldin,2109
D.Bryant,1398
M.Floyd,1465
R.White,1816
S.Smith,2760
M.Bennett,488
V.Davis,1518
J.Thomas,278
C.Johnson,2986
D.Hopkins,219
D.Walker,644
L.Miller,71
R.Streater,389
A.Hurns,34
A.Brown,1530
R.Lockette,113
G.Jennings,1271
G.Olsen,1278
O.Daniels,984
M.Wallace,2108
J.Avant,627
M.Sanu,347
M.Austin,1553
J.Thomas,295
E.Decker,757
J.Doyle,2
M.Asiata,27
R.Randle,341
D.Hopkins,238
A.Gates,1075
M.Crabtree,1608
D.Walker,745
D.Young,203
M.Crabtree,1625
H.Douglas,659
E.Royal,600
A.Brown,1624
A.Dalton,18
K.Juszczyk,9
A.Quarless,97
A.Bradshaw,468
T.Kelce,47
R.Gronkowski,856
J.Hill,265
V.Cruz,1054
M.Bennett,495
D.Young,207
R.Lockette,152
B.Quick,418
S.Smith,2860
B.Marshall,2159
T.Williams,307
S.Watkins,109
D.Allen,181
J.Charles,621
R.White,1874
J.Ross,101
B.Leonhardt,10
M.Evans,60
E.Royal,663
F.Gore,687
L.Donnell,64
M.Forte,766
T.Williams,378
J.Thomas,316
G.Tate,864
R.Cobb,460
D.Allen,197
T.Wright,170
P.Thomas,551
R.Randle,388
B.Quick,432
A.Gates,1091
T.Kelce,105
K.Wright,694
J.Kearse,202
M.Floyd,1668
J.Morgan,616
R.Woods,246
K.Benjamin,120
J.Cameron,451
A.Bradshaw,478
J.Nelson,1236
T.Riddick,68
J.Amaro,42
A.Holmes,186
Z.Ertz,258
G.Escobar,35
L.Kendricks,518
T.Smith,1225
C.Harbor,352
O.Daniels,1028
S.Watkins,156
C.Clay,501
G.Escobar,74
E.Sanders,825
A.Johnson,2119
J.Nelson,1295
D.Allen,282
A.Robinson,285
S.Vereen,153
